"subject","subject_name","status","rgdt","updt"
"0000","HTML&CSS","1","2022-05-30 22:37:29","2022-05-30 22:37:29"
"0010","JavaScript","1","2022-05-30 22:37:29","2022-05-30 22:37:29"
"0011","JQuery","0","2022-05-30 22:37:29","2022-05-30 22:37:29"
"0012","Angular","0","2022-05-30 22:37:29","2022-05-30 22:37:29"
"0013","React","0","2022-05-30 22:37:29","2022-05-30 22:37:29"
"0014","Vue.js","0","2022-05-30 22:37:29","2022-05-30 22:37:29"
"0015","TypeScript","0","2022-05-30 22:37:29","2022-05-30 22:37:29"
"0100","php","1","2022-05-30 22:37:29","2022-05-30 22:37:29"
"0101","ruby","1","2022-05-30 22:37:29","2022-05-30 22:37:29"
"0102","perl","1","2022-05-30 22:37:29","2022-05-30 22:37:29"
"0103","Python","1","2022-09-04 18:13:05","2022-09-04 18:13:05"
"0199","SQL","1","2022-05-30 22:37:29","2022-05-30 22:37:29"
"0200","C","1","2022-05-30 22:37:29","2022-05-30 22:37:29"
"0201","C++","1","2022-05-30 22:37:29","2022-05-30 22:37:29"
"0202","Java","1","2022-05-30 22:37:29","2022-05-30 22:37:29"
"0220","Rust","1","2022-05-30 22:37:29","2022-05-30 22:37:29"
"0221","Go","1","2022-05-30 22:37:29","2022-05-30 22:37:29"
"0250","VB.NET","1","2022-05-30 22:37:29","2022-05-30 22:37:29"
"0251","C#","1","2022-05-30 22:37:29","2022-05-30 22:37:29"
"0252","F#","1","2022-05-30 22:37:29","2022-05-30 22:37:29"
"0300","haskell","1","2022-05-30 22:37:29","2022-05-30 22:37:29"
"0301","Ocaml","1","2022-05-30 22:37:29","2022-05-30 22:37:29"
"0302","Scala","1","2022-05-30 22:37:29","2022-05-30 22:37:29"
"0400","kotlin","1","2022-05-30 22:37:29","2022-05-30 22:37:29"
"0401","swift","1","2022-05-30 22:37:29","2022-05-30 22:37:29"
"0420","R","1","2022-05-30 22:37:29","2022-05-30 22:37:29"
"0500","データベース理論","1","2022-07-18 00:44:54","2022-07-18 00:44:54"
"0510","MySQL","1","2022-07-18 00:45:40","2022-07-18 00:45:40"
"0511","PostgreSQL","1","2022-07-18 00:46:38","2022-07-18 00:46:38"
"0512","SQLite","1","2022-07-18 00:48:22","2022-07-18 00:48:22"
"0513","MongoDB","1","2022-07-18 00:48:59","2022-07-18 00:48:59"
"0700","Shell Script","1","2022-05-30 22:37:29","2022-05-30 22:37:29"
"0701","cmd","1","2022-05-30 22:37:29","2022-05-30 22:37:29"
"0702","Power Shell","1","2022-05-30 22:37:29","2022-05-30 22:37:29"
"0710","Linux","1","2022-09-04 18:07:08","2022-09-04 18:07:08"
"0711","Windows","1","2022-09-04 18:08:57","2022-09-04 18:08:57"
"0900","fortran","1","2022-05-30 22:37:29","2022-05-30 22:37:29"
