"subject";"category";"importance";"status";"rgdt";"updt"
"0000";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0010";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0011";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0012";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0013";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0014";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0015";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0100";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0101";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0102";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0103";"00";5;"1";"2022-09-23 16:14:33";"2022-09-23 16:14:33"
"0199";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0200";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0201";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0202";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0220";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0221";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0250";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0250";"06";5;"1";"2022-07-18 00:54:49";"2022-07-18 00:54:49"
"0251";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0251";"06";5;"1";"2022-07-18 00:54:39";"2022-07-18 00:54:39"
"0252";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0252";"06";5;"1";"2022-07-18 00:54:51";"2022-07-18 00:54:51"
"0300";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
